"region","s1aq1","s1aq4y","urbrur","s1aq5","s2aq3","s2aq11a29","s4aq2","s4aq40a1","s4aq43m","s4aq49","s4aq55a","s4gq13c","hhid","s3aq23hhid","education_rank","urban_binary","abv_avg_wage"
"ASHANTI","Female",13,"Rural","Never married","Primary",400,NA,NA,NA,NA,704.84499041006,NA,128310,1,3,0,"Low"
"NORTH EAST","Female",9,"Urban",NA,"Primary",10,NA,NA,NA,NA,704.84499041006,NA,251504,3,3,1,"Low"
"GREATER ACCRA","Female",14,"Urban","Never married","JSS/JHS",600,NA,NA,NA,NA,618.119080643605,NA,412307,1,4,1,"Low"
"GREATER ACCRA","Male",48,"Urban","Separated","JSS/JHS",NA,5,"Craft and related trades workers",0,"Yes",1800,"Yes",511413,10,4,1,"High"
"BONO EAST","Male",27,"Rural","Never married","Primary",NA,NA,"Elementary occupations",6,NA,464.756097560976,"No",740904,1,3,0,"Low"
"EASTERN","Female",15,"Rural","Never married","Primary",300,NA,NA,NA,NA,704.84499041006,NA,422709,NA,3,0,"Low"
"CENTRAL","Male",18,"Rural","Never married","SSS/SHS",142,NA,NA,NA,NA,673.530203086443,NA,606810,1,6,0,"Low"
"BONO EAST","Female",32,"Urban","Never married","SSS/SHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",640004,2,6,1,"High"
"BONO EAST","Male",50,"Urban","Married (Customary/Traditional)","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",6,NA,889,NA,340409,1,3,1,"High"
"OTI","Male",50,"Rural","Informal/living together","SSS/SHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,443606,1,6,0,"High"
"ASHANTI","Male",5,"Urban",NA,"Primary",480,NA,NA,NA,NA,704.84499041006,NA,325106,NA,3,1,"Low"
"SAVANNAH","Female",34,"Urban","Married (Islamic)","No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,249015,1,0,1,"High"
"AHAFO","Male",21,"Rural","Never married","JSS/JHS",NA,NA,"Elementary occupations",5,NA,464.756097560976,"No",635708,1,4,0,"Low"
"BONO EAST","Female",55,"Urban","Widowed","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,340218,1,0,1,"High"
"UPPER EAST","Female",53,"Urban","Married (Customary/Traditional)","No Formal Education",NA,NA,"Service and sales workers",0,NA,660.672413793103,"Don't Know",754706,2,0,1,"Low"
"ASHANTI","Female",5,"Rural",NA,"Kindergarten",547,NA,NA,NA,NA,729.655004205214,NA,627513,1,2,0,"High"
